name,rotation_period,orbital_period,diameter,climate,gravity,terrain,surface_water,population
Alderaan,24.0,364.0,12500.0,temperate,1 standard,"grasslands, mountains",40.0,2000000000.0
Yavin IV,24.0,4818.0,10200.0,"temperate, tropical",1 standard,"jungle, rainforests",8.0,1000.0
Hoth,23.0,549.0,7200.0,frozen,1.1 standard,"tundra, ice caves, mountain ranges",100.0,
Dagobah,23.0,341.0,8900.0,murky,0,"swamp, jungles",8.0,
Bespin,12.0,5110.0,118000.0,temperate,"1.5 (surface), 1 standard (Cloud City)",gas giant,0.0,6000000.0
Endor,18.0,402.0,4900.0,temperate,0.85 standard,"forests, mountains, lakes",8.0,30000000.0
Naboo,26.0,312.0,12120.0,temperate,1 standard,"grassy hills, swamps, forests, mountains",12.0,4500000000.0
Coruscant,24.0,368.0,12240.0,temperate,1 standard,"cityscape, mountains",0,1000000000000.0
Kamino,27.0,463.0,19720.0,temperate,1 standard,ocean,100.0,1000000000.0
Geonosis,30.0,256.0,11370.0,"temperate, arid",0.9 standard,"rock, desert, mountain, barren",5.0,100000000000.0
Utapau,27.0,351.0,12900.0,"temperate, arid, windy",1 standard,"scrublands, savanna, canyons, sinkholes",0.9,95000000.0
Mustafar,36.0,412.0,4200.0,hot,1 standard,"volcanoes, lava rivers, mountains, caves",0.0,20000.0
Kashyyyk,26.0,381.0,12765.0,tropical,1 standard,"jungle, forests, lakes, rivers",60.0,45000000.0
Polis Massa,24.0,590.0,0.0,artificial temperate ,0.56 standard,airless asteroid,0.0,1000000.0
Mygeeto,12.0,167.0,10088.0,frigid,1 standard,"glaciers, mountains, ice canyons",0,19000000.0
Felucia,34.0,231.0,9100.0,"hot, humid",0.75 standard,fungus forests,0,8500000.0
Cato Neimoidia,25.0,278.0,0.0,"temperate, moist",1 standard,"mountains, fields, forests, rock arches",0,10000000.0
Saleucami,26.0,392.0,14920.0,hot,,"caves, desert, mountains, volcanoes",0,1400000000.0
Stewjon,0,0,0.0,temperate,1 standard,grass,,
Eriadu,24.0,360.0,13490.0,polluted,1 standard,cityscape,,22000000000.0
Corellia,25.0,329.0,11000.0,temperate,1 standard,"plains, urban, hills, forests",70.0,3000000000.0
Rodia,29.0,305.0,7549.0,hot,1 standard,"jungles, oceans, urban, swamps",60.0,1300000000.0
Nal Hutta,87.0,413.0,12150.0,temperate,1 standard,"urban, oceans, swamps, bogs",0,7000000000.0
Dantooine,25.0,378.0,9830.0,temperate,1 standard,"oceans, savannas, mountains, grasslands",0,1000.0
Bestine IV,26.0,680.0,6400.0,temperate,0,"rocky islands, oceans",98.0,62000000.0
Ord Mantell,26.0,334.0,14050.0,temperate,1 standard,"plains, seas, mesas",10.0,4000000000.0
Trandosha,25.0,371.0,0.0,arid,0.62 standard,"mountains, seas, grasslands, deserts",,42000000.0
Socorro,20.0,326.0,0.0,arid,1 standard,"deserts, mountains",0,300000000.0
Mon Cala,21.0,398.0,11030.0,temperate,1,"oceans, reefs, islands",100.0,27000000000.0
Chandrila,20.0,368.0,13500.0,temperate,1,"plains, forests",40.0,1200000000.0
Sullust,20.0,263.0,12780.0,superheated,1,"mountains, volcanoes, rocky deserts",5.0,18500000000.0
Toydaria,21.0,184.0,7900.0,temperate,1,"swamps, lakes",0,11000000.0
Malastare,26.0,201.0,18880.0,"arid, temperate, tropical",1.56,"swamps, deserts, jungles, mountains",0,2000000000.0
Dathomir,24.0,491.0,10480.0,temperate,0.9,"forests, deserts, savannas",0,5200.0
Ryloth,30.0,305.0,10600.0,"temperate, arid, subartic",1,"mountains, valleys, deserts, tundra",5.0,1500000000.0
Vulpter,22.0,391.0,14900.0,"temperate, artic",1,"urban, barren",0,421000000.0
Tund,48.0,1770.0,12190.0,0,0,"barren, ash",0,0.0
Haruun Kal,25.0,383.0,10120.0,temperate,0.98,"toxic cloudsea, plateaus, volcanoes",0,705300.0
Cerea,27.0,386.0,0,temperate,1,verdant,20.0,450000000.0
Glee Anselm,33.0,206.0,15600.0,"tropical, temperate",1,"lakes, islands, swamps, seas",80.0,500000000.0
Iktotch,22.0,481.0,0,"arid, rocky, windy",1,rocky,0,
Dorin,22.0,409.0,13400.0,temperate,1,0,0,
Champala,27.0,318.0,0,temperate,1,"oceans, rainforests, plateaus",0,3500000000.0
Ojom,0,0,0,frigid,,"oceans, glaciers",100.0,500000000.0
Skako,27.0,384.0,,temperate,1,"urban, vines",,500000000000.0
Muunilinst,28.0,412.0,13800.0,temperate,1,"plains, forests, hills, mountains",25.0,5000000000.0
Shili,0,0,0,temperate,1,"cities, savannahs, seas, plains",0,
Kalee,23.0,378.0,13850.0,"arid, temperate, tropical",1,"rainforests, cliffs, canyons, seas",,4000000000.0
Tatooine,23.0,304.0,10465.0,arid,1 standard,desert,1.0,200000.0
Jakku,0,0,0,0,0,deserts,0,
